Round,Final Scores,Final Ranking
42,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
43,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
44,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
45,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
46,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
47,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
48,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
49,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
50,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
51,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
52,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
53,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
54,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
55,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
56,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
57,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
58,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
59,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
60,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
61,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
62,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
63,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
64,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
65,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
66,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
67,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
68,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
69,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
70,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
71,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
72,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
73,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
74,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
75,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
76,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
77,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
78,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
79,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
80,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
81,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
82,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
83,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
84,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
85,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
86,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
87,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
88,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
89,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
90,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
91,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
92,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
93,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
94,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
95,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
96,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
97,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
98,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
99,"{'A': 8, 'B': 6, 'C': 8, 'D': 6}","[('A', 8), ('C', 8), ('B', 6), ('D', 6)]"
100,"{'A': 6, 'B': 8, 'C': 6, 'D': 8}","[('B', 8), ('D', 8), ('A', 6), ('C', 6)]"
